CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
1404123,2020-01-31,22.0700,30.5600,15.9900,0.3847,-0.2755,6M:0 3Y:0,6M:1 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2466.9087,102466.9087,100.0000,100.0000,38.4685,23782.9833,123782.9833,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.8806,0.1044,0.4985,0.4498,1,0
1847986,2021-08-11,10.0400,10.1600,14.3300,0.0120,0.4273,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,1.1952,2468.1040,102468.1040,0.0000,0.0000,0.0000,23782.9833,123782.9833,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.0040,0.0049,0.4843,0.3061,0,0
1894630,2022-01-12,10.0000,9.7700,10.3100,-0.0230,0.0310,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2468.1040,102468.1040,0.0000,0.0000,0.0000,23782.9833,123782.9833,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.0026,0.0012,0.4454,0.1261,0,0
1703079,2017-09-27,4.1900,4.0700,3.3200,-0.0286,-0.2076,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2468.1040,102468.1040,0.0000,0.0000,0.0000,23782.9833,123782.9833,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.2232,0.1136,0.4966,0.3074,0,0
1829432,2019-11-05,0.4800,0.4800,9.9800,0.0000,19.7917,6M:0 3Y:1,6M:0 3Y:1,6M:0 3Y:0,100.0000,100.0000,1979.1667,4447.2706,104447.2706,100.0000,100.0000,1979.1667,25762.1500,125762.1500,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.0696,0.5753,0.4953,0.2770,0,1
1835817,2021-04-22,9.8000,9.7700,0.1000,-0.0031,-0.9898,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,25762.1500,125762.1500,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.0029,0.0003,0.4441,0.1285,0,0
1969863,2024-01-24,4.0000,3.1200,0.6100,-0.2200,-0.8475,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,25762.1500,125762.1500,0.0000,0.0000,0.0000,23173.6878,123173.6878,0.4398,0.0861,0.4695,0.3027,0,0
1539838,2012-10-12,13.8200,20.5900,60.7300,0.4899,3.3944,6M:0 3Y:0,6M:1 3Y:1,6M:1 3Y:1,0.0000,0.0000,0.0000,4447.2706,104447.2706,200.0000,200.0000,388.4226,26150.5726,126150.5726,200.0000,200.0000,388.4226,23562.1103,123562.1103,0.8410,0.9554,0.5373,0.6967,1,1
1807120,2021-03-26,41.4900,15.0200,3.7400,-0.6380,-0.9099,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,26150.5726,126150.5726,0.0000,0.0000,0.0000,23562.1103,123562.1103,0.0318,0.0235,0.4881,0.3530,0,0
1593538,2014-04-17,10.3400,10.8300,10.1300,0.0474,-0.0203,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,100.0000,100.0000,4.7389,26155.3115,126155.3115,100.0000,100.0000,4.7389,23566.8492,123566.8492,0.8958,0.0276,0.5432,0.2529,1,0
